epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.393,1.41825,2.06868,1.41597,0.69255,0.49564,0.51642,0.28482,1.45038,1.62765,1.53432,0.000367371,0.000367371,0.000367371
2,340.225,1.39883,1.35864,1.36168,0.82184,0.54066,0.64925,0.35244,1.45158,1.22096,1.50753,0.000723097,0.000723097,0.000723097
3,376.02,1.39772,1.28811,1.3545,0.69768,0.59043,0.5839,0.30687,1.50819,1.28617,1.59222,0.00106416,0.00106416,0.00106416
4,411.721,1.39335,1.24156,1.36116,0.81707,0.62276,0.71547,0.37603,1.48937,1.12112,1.5461,0.00104501,0.00104501,0.00104501
5,447.382,1.3742,1.17753,1.3318,0.67695,0.73431,0.74041,0.39043,1.44447,1.04449,1.52629,0.00102301,0.00102301,0.00102301
6,484.653,1.35868,1.12454,1.32268,0.80872,0.63584,0.78242,0.39651,1.45859,1.03321,1.49989,0.00100101,0.00100101,0.00100101
7,519.953,1.33133,1.08441,1.31352,0.76372,0.71562,0.77223,0.40047,1.46491,0.97282,1.50943,0.000979013,0.000979013,0.000979013
8,555.307,1.3312,1.06126,1.31035,0.8306,0.64786,0.80086,0.42671,1.43159,0.94077,1.49444,0.000957015,0.000957015,0.000957015
9,590.605,1.30554,1.01004,1.29127,0.70734,0.76911,0.78018,0.42746,1.46864,0.90918,1.50081,0.000935018,0.000935018,0.000935018
10,626.84,1.31078,1.00286,1.29959,0.78995,0.72031,0.81872,0.43928,1.44308,0.90617,1.47628,0.00091302,0.00091302,0.00091302
11,662.767,1.30188,0.97635,1.28715,0.81243,0.70791,0.79488,0.44158,1.41873,0.88291,1.46992,0.000891022,0.000891022,0.000891022
12,698.642,1.29049,0.95198,1.28588,0.71531,0.81635,0.82061,0.45612,1.38386,0.85764,1.4441,0.000869024,0.000869024,0.000869024
13,738.315,1.27165,0.93376,1.28078,0.78786,0.78902,0.81491,0.44866,1.40114,0.8518,1.45395,0.000847026,0.000847026,0.000847026
14,774.404,1.28492,0.93602,1.28643,0.78745,0.7618,0.82131,0.4355,1.41463,0.87415,1.46045,0.000825029,0.000825029,0.000825029
15,809.725,1.26578,0.90403,1.26838,0.80395,0.70304,0.80387,0.43876,1.43889,0.81126,1.47647,0.000803031,0.000803031,0.000803031
16,845.456,1.2651,0.88136,1.26159,0.80284,0.77411,0.84746,0.46296,1.39694,0.82214,1.43892,0.000781033,0.000781033,0.000781033
17,881.436,1.26778,0.89816,1.27461,0.73082,0.84819,0.81628,0.46573,1.3909,0.78502,1.44107,0.000759035,0.000759035,0.000759035
18,917.404,1.23225,0.85805,1.25154,0.8109,0.80315,0.85321,0.46021,1.37379,0.78414,1.43198,0.000737037,0.000737037,0.000737037
19,952.822,1.23241,0.84027,1.24868,0.7977,0.79127,0.85251,0.46515,1.39692,0.80799,1.4481,0.00071504,0.00071504,0.00071504
20,987.709,1.23349,0.8337,1.244,0.74155,0.79233,0.80257,0.4412,1.45911,0.7893,1.50626,0.000693042,0.000693042,0.000693042
21,1023.68,1.21519,0.82579,1.24635,0.78735,0.80167,0.85394,0.47051,1.3922,0.77318,1.43262,0.000671044,0.000671044,0.000671044
22,1059.76,1.22307,0.80869,1.23848,0.77525,0.8359,0.85418,0.46091,1.39683,0.76359,1.43112,0.000649046,0.000649046,0.000649046
23,1094.63,1.21239,0.79773,1.229,0.7943,0.80223,0.84012,0.45556,1.40538,0.77865,1.45422,0.000627048,0.000627048,0.000627048
24,1130.27,1.20585,0.79515,1.22973,0.84178,0.77291,0.85371,0.46534,1.3769,0.74152,1.43097,0.000605051,0.000605051,0.000605051
25,1165.94,1.21378,0.79874,1.2271,0.81828,0.81799,0.83643,0.47027,1.36493,0.7487,1.43341,0.000583053,0.000583053,0.000583053
26,1202.15,1.19567,0.76739,1.21393,0.80503,0.75776,0.83259,0.45981,1.44052,0.7521,1.47195,0.000561055,0.000561055,0.000561055
27,1237.76,1.19633,0.77499,1.21939,0.85152,0.7582,0.83871,0.46711,1.38829,0.73779,1.42704,0.000539057,0.000539057,0.000539057
28,1273.22,1.17775,0.75035,1.21515,0.78007,0.83485,0.86583,0.46655,1.40914,0.71897,1.45817,0.000517059,0.000517059,0.000517059
29,1309.14,1.18523,0.75307,1.20958,0.85083,0.80253,0.85685,0.47,1.44925,0.73617,1.4918,0.000495062,0.000495062,0.000495062
30,1348.95,1.15965,0.72929,1.19617,0.82041,0.79306,0.82851,0.47346,1.38305,0.72731,1.44218,0.000473064,0.000473064,0.000473064
31,1384.87,1.17067,0.73884,1.21085,0.84169,0.76716,0.82441,0.48116,1.35945,0.7086,1.41577,0.000451066,0.000451066,0.000451066
32,1420.76,1.15196,0.71773,1.19416,0.8073,0.79563,0.82433,0.4666,1.40282,0.72041,1.44634,0.000429068,0.000429068,0.000429068
33,1456.18,1.14063,0.70642,1.19121,0.84366,0.82204,0.87558,0.48518,1.39057,0.70522,1.45616,0.00040707,0.00040707,0.00040707
34,1492.31,1.14186,0.70686,1.1877,0.81821,0.79314,0.83646,0.47676,1.37824,0.72701,1.44355,0.000385073,0.000385073,0.000385073
35,1527.81,1.12792,0.68767,1.18651,0.87385,0.81331,0.84785,0.48622,1.35586,0.69271,1.43637,0.000363075,0.000363075,0.000363075
36,1563.33,1.10664,0.67924,1.17014,0.83704,0.82351,0.85161,0.49112,1.36975,0.70668,1.43654,0.000341077,0.000341077,0.000341077
37,1597.83,1.10645,0.67669,1.17762,0.8195,0.81785,0.85059,0.48004,1.40046,0.71404,1.45242,0.000319079,0.000319079,0.000319079
38,1637.45,1.11073,0.68193,1.1769,0.78107,0.84287,0.84165,0.47264,1.3799,0.69552,1.44811,0.000297081,0.000297081,0.000297081
39,1672.53,1.10029,0.66917,1.17202,0.87203,0.77685,0.85163,0.48249,1.37941,0.7101,1.43428,0.000275084,0.000275084,0.000275084
40,1707.58,1.09073,0.65964,1.16333,0.86201,0.80072,0.85011,0.48566,1.38186,0.68883,1.44931,0.000253086,0.000253086,0.000253086
41,1743.9,1.06387,0.60362,1.15083,0.87071,0.78167,0.84466,0.47003,1.39314,0.69674,1.46802,0.000231088,0.000231088,0.000231088
42,1777.67,1.05386,0.59212,1.1561,0.89674,0.7877,0.8521,0.48643,1.37473,0.6938,1.44974,0.00020909,0.00020909,0.00020909
43,1812.87,1.03335,0.57465,1.13257,0.84741,0.79595,0.82907,0.4783,1.37354,0.68826,1.43808,0.000187092,0.000187092,0.000187092
44,1848.32,1.02825,0.57403,1.12883,0.87963,0.80316,0.85083,0.48601,1.38101,0.68976,1.45116,0.000165095,0.000165095,0.000165095
45,1883.64,1.01032,0.55936,1.11823,0.8652,0.81395,0.85666,0.47649,1.39526,0.69015,1.47451,0.000143097,0.000143097,0.000143097
46,1921.26,1.00779,0.54962,1.11519,0.85637,0.79653,0.85358,0.47798,1.36327,0.68186,1.43629,0.000121099,0.000121099,0.000121099
47,1956.56,0.99939,0.54121,1.11511,0.86014,0.81695,0.84846,0.48081,1.36545,0.67794,1.44534,9.91012e-05,9.91012e-05,9.91012e-05
48,1991.65,0.99938,0.54186,1.11566,0.81999,0.80498,0.82413,0.47581,1.38324,0.67177,1.46354,7.71034e-05,7.71034e-05,7.71034e-05
49,2031.71,0.99431,0.54265,1.10875,0.85044,0.81838,0.85867,0.48339,1.36733,0.67308,1.45197,5.51056e-05,5.51056e-05,5.51056e-05
